,Layer,Mult,Pos,Average,Matching,Not Matching
396,36,0.1,-10,0.5823245,0.3854464,0.3088532
397,36,0.5,-10,0.5786429,0.38950074,0.31383502
398,36,1.0,-10,0.57333654,0.39342266,0.32043472
399,38,-1.0,-3,0.585108,0.30270287,0.28539065
400,38,-0.5,-3,0.59224147,0.35047677,0.29232463
401,38,-0.1,-3,0.5859688,0.3796979,0.30430526
402,38,0.0,-3,0.5831409,0.38425878,0.307647
403,38,0.1,-3,0.5799847,0.38785118,0.31101865
404,38,0.5,-3,0.5657139,0.39484894,0.32406247
405,38,1.0,-3,0.54895574,0.3940644,0.33729976
406,38,-1.0,-5,0.59163564,0.33217514,0.2884304
407,38,-0.5,-5,0.5904862,0.36437127,0.29715547
408,38,-0.1,-5,0.5849487,0.38118255,0.3054775
409,38,0.0,-5,0.5831409,0.38425878,0.307647
410,38,0.1,-5,0.5812153,0.3869518,0.3098318
411,38,0.5,-5,0.57274073,0.3945576,0.31856063
412,38,1.0,-5,0.5615546,0.39888814,0.32899097
413,38,-1.0,-10,0.5910606,0.36890996,0.2984133
414,38,-0.5,-10,0.5876798,0.37738174,0.30263475
415,38,-0.1,-10,0.58412534,0.38301113,0.3065927
416,38,0.0,-10,0.5831409,0.38425878,0.307647
417,38,0.1,-10,0.5821231,0.3854434,0.30872467
418,38,0.5,-10,0.5777512,0.3895685,0.31323773
419,38,1.0,-10,0.5717367,0.3934261,0.31925085
420,40,-1.0,-3,0.61530197,0.38265213,0.2824501
421,40,-0.5,-3,0.60009265,0.3834862,0.29624125
422,40,-0.1,-3,0.58636457,0.3841952,0.30555394
423,40,0.0,-3,0.5831409,0.38425878,0.307647
424,40,0.1,-3,0.58002687,0.38419014,0.30964458
425,40,0.5,-3,0.56876427,0.381938,0.3163633
426,40,1.0,-3,0.5576835,0.37138405,0.3194059
427,40,-1.0,-5,0.60314226,0.38833866,0.29741925
428,40,-0.5,-5,0.5930899,0.38602534,0.30273184
429,40,-0.1,-5,0.5850766,0.38460183,0.3066884
430,40,0.0,-5,0.5831409,0.38425878,0.307647
431,40,0.1,-5,0.58123624,0.38390163,0.30859554
432,40,0.5,-5,0.5739471,0.3821641,0.31224942
433,40,1.0,-5,0.5656813,0.37865397,0.31611502
434,40,-1.0,-10,0.5932707,0.38758472,0.3033079
435,40,-0.5,-10,0.58814985,0.38578674,0.30546716
436,40,-0.1,-10,0.58413386,0.38455147,0.30720666
437,40,0.0,-10,0.5831409,0.38425878,0.307647
438,40,0.1,-10,0.5821538,0.38397065,0.30808932
439,40,0.5,-10,0.57824427,0.38281533,0.30988467
440,40,1.0,-10,0.5734467,0.38126433,0.31216958
441,42,-1.0,-3,0.58982444,0.39116448,0.308747
442,42,-0.5,-3,0.58476764,0.38669118,0.30981314
443,42,-0.1,-3,0.58332354,0.3845226,0.30810094
444,42,0.0,-3,0.5831409,0.38425878,0.307647
445,42,0.1,-3,0.58295405,0.38407773,0.30726072
446,42,0.5,-3,0.581681,0.3841673,0.30686772
447,42,1.0,-3,0.57857513,0.38440904,0.3086781
448,42,-1.0,-5,0.587029,0.3862588,0.30824563
449,42,-0.5,-5,0.58449745,0.3847976,0.30832824
450,42,-0.1,-5,0.58336073,0.38431442,0.3077944
451,42,0.0,-5,0.5831409,0.38425878,0.307647
452,42,0.1,-5,0.58292997,0.38422638,0.30751315
453,42,0.5,-5,0.5820385,0.3843558,0.3072585
454,42,1.0,-5,0.5805644,0.3851621,0.30785304
455,42,-1.0,-10,0.58402586,0.38398534,0.30870607
456,42,-0.5,-10,0.58355075,0.38415104,0.30820313
457,42,-0.1,-10,0.5832236,0.3842425,0.30775538
458,42,0.0,-10,0.5831409,0.38425878,0.307647
459,42,0.1,-10,0.5830566,0.3842726,0.30754247
460,42,0.5,-10,0.58267367,0.38430637,0.3071903
461,42,1.0,-10,0.58205146,0.38434687,0.30696163
462,44,-1.0,-3,0.5773883,0.38200885,0.32035506
463,44,-0.5,-3,0.5812361,0.38224563,0.31197774
464,44,-0.1,-3,0.5829123,0.3838017,0.30816695
465,44,0.0,-3,0.5831409,0.38425878,0.307647
466,44,0.1,-3,0.5832867,0.38479504,0.307313
467,44,0.5,-3,0.5830624,0.38801208,0.30779076
